Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
brasileiras	ADJ	0	4	1	0	Startups brasileiras estão crescendo no setor de tecnologia .
estão	AUX	0	4	2	0	Startups brasileiras estão crescendo no setor de tecnologia .
crescendo	VERB	0	4	3	0	Startups brasileiras estão crescendo no setor de tecnologia .
no	ADP	0	4	4	0	Startups brasileiras estão crescendo no setor de tecnologia .
setor	NOUN	0	4	5	0	Startups brasileiras estão crescendo no setor de tecnologia .
de	ADP	0	4	6	0	Startups brasileiras estão crescendo no setor de tecnologia .
tecnologia	NOUN	0	4	7	0	Startups brasileiras estão crescendo no setor de tecnologia .
.	PUNCT	0	4	8	0	Startups brasileiras estão crescendo no setor de tecnologia .
3	['PROPN', 'ADJ', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[1, 0, 0, 0, 0, 0, 0, 0, 0]	4	3	1	Startups brasileiras estão crescendo no setor de tecnologia .
O	DET	0	5	0	0	O time conquistou o campeonato após uma partida emocionante .
time	NOUN	0	5	1	0	O time conquistou o campeonato após uma partida emocionante .
conquistou	VERB	0	5	2	0	O time conquistou o campeonato após uma partida emocionante .
o	DET	0	5	3	0	O time conquistou o campeonato após uma partida emocionante .
campeonato	NOUN	0	5	4	0	O time conquistou o campeonato após uma partida emocionante .
após	ADP	0	5	5	0	O time conquistou o campeonato após uma partida emocionante .
uma	DET	0	5	6	0	O time conquistou o campeonato após uma partida emocionante .
partida	NOUN	0	5	7	0	O time conquistou o campeonato após uma partida emocionante .
emocionante	ADJ	1	5	8	0	O time conquistou o campeonato após uma partida emocionante .
.	PUNCT	0	5	9	0	O time conquistou o campeonato após uma partida emocionante .
4	['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	5	4	1	O time conquistou o campeonato após uma partida emocionante .
Pesquisadores	NOUN	1	6	0	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
desenvolveram	VERB	0	6	1	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
um	DET	0	6	2	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
novo	ADJ	0	6	3	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
modelo	NOUN	0	6	4	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
de	ADP	0	6	5	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
linguagem	NOUN	0	6	6	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
avançado	VERB	0	6	7	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
.	PUNCT	0	6	8	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
5	['NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT']	[1, 0, 0, 0, 0, 0, 0, 0, 0]	6	5	1	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
A	DET	0	7	0	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
cidade	NOUN	0	7	1	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
de	ADP	0	7	2	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
São	PROPN	0	7	3	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
Paulo	PROPN	0	7	4	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
enfrenta	VERB	0	7	5	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
problemas	NOUN	0	7	6	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
de	ADP	0	7	7	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
mobilidade	NOUN	0	7	8	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
urbana	ADJ	0	7	9	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
.	PUNCT	0	7	10	0	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
6	['DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	7	6	1	A cidade de São Paulo enfrenta problemas de mobilidade urbana .
O	DET	0	8	0	0	O aplicativo facilita o agendamento de consultas médicas .
aplicativo	NOUN	0	8	1	0	O aplicativo facilita o agendamento de consultas médicas .
facilita	VERB	1	8	2	0	O aplicativo facilita o agendamento de consultas médicas .
o	DET	0	8	3	0	O aplicativo facilita o agendamento de consultas médicas .
agendamento	NOUN	1	8	4	0	O aplicativo facilita o agendamento de consultas médicas .
de	ADP	0	8	5	0	O aplicativo facilita o agendamento de consultas médicas .
consultas	NOUN	1	8	6	0	O aplicativo facilita o agendamento de consultas médicas .
médicas	ADJ	0	8	7	0	O aplicativo facilita o agendamento de consultas médicas .
.	PUNCT	0	8	8	0	O aplicativo facilita o agendamento de consultas médicas .
7	['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 1, 0, 1, 0, 1, 0, 0]	8	7	1	O aplicativo facilita o agendamento de consultas médicas .
Estudos	NOUN	0	9	0	0	Estudos mostram aumento no uso de energia renovável no país .
mostram	VERB	0	9	1	0	Estudos mostram aumento no uso de energia renovável no país .
aumento	NOUN	0	9	2	0	Estudos mostram aumento no uso de energia renovável no país .
no	ADP	0	9	3	0	Estudos mostram aumento no uso de energia renovável no país .
uso	NOUN	0	9	4	0	Estudos mostram aumento no uso de energia renovável no país .
de	ADP	0	9	5	0	Estudos mostram aumento no uso de energia renovável no país .
energia	NOUN	0	9	6	0	Estudos mostram aumento no uso de energia renovável no país .
renovável	ADJ	1	9	7	0	Estudos mostram aumento no uso de energia renovável no país .
no	ADP	0	9	8	0	Estudos mostram aumento no uso de energia renovável no país .
país	NOUN	0	9	9	0	Estudos mostram aumento no uso de energia renovável no país .
.	PUNCT	0	9	10	0	Estudos mostram aumento no uso de energia renovável no país .
8	['NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	9	8	1	Estudos mostram aumento no uso de energia renovável no país .
A	DET	0	10	0	0	A bolsa de valores teve alta significativa nesta semana .
bolsa	NOUN	0	10	1	0	A bolsa de valores teve alta significativa nesta semana .
de	ADP	0	10	2	0	A bolsa de valores teve alta significativa nesta semana .
valores	NOUN	0	10	3	0	A bolsa de valores teve alta significativa nesta semana .
teve	VERB	0	10	4	0	A bolsa de valores teve alta significativa nesta semana .
alta	ADJ	0	10	5	0	A bolsa de valores teve alta significativa nesta semana .
significativa	ADJ	0	10	6	0	A bolsa de valores teve alta significativa nesta semana .
nesta	ADP	0	10	7	0	A bolsa de valores teve alta significativa nesta semana .
semana	NOUN	0	10	8	0	A bolsa de valores teve alta significativa nesta semana .
.	PUNCT	0	10	9	0	A bolsa de valores teve alta significativa nesta semana .
9	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	10	9	1	A bolsa de valores teve alta significativa nesta semana .
O	DET	0	11	0	0	O presidente discursou sobre educação e inovação tecnológica .
presidente	NOUN	0	11	1	0	O presidente discursou sobre educação e inovação tecnológica .
discursou	VERB	1	11	2	0	O presidente discursou sobre educação e inovação tecnológica .
sobre	ADP	0	11	3	0	O presidente discursou sobre educação e inovação tecnológica .
educação	NOUN	0	11	4	0	O presidente discursou sobre educação e inovação tecnológica .
e	CCONJ	0	11	5	0	O presidente discursou sobre educação e inovação tecnológica .
inovação	NOUN	0	11	6	0	O presidente discursou sobre educação e inovação tecnológica .
tecnológica	ADJ	0	11	7	0	O presidente discursou sobre educação e inovação tecnológica .
.	PUNCT	0	11	8	0	O presidente discursou sobre educação e inovação tecnológica .
10	['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 1, 0, 0, 0, 0, 0, 0]	11	10	1	O presidente discursou sobre educação e inovação tecnológica .
Novos	ADJ	0	12	0	0	Novos avanços em IA estão mudando a indústria global .
avanços	NOUN	0	12	1	0	Novos avanços em IA estão mudando a indústria global .
em	ADP	0	12	2	0	Novos avanços em IA estão mudando a indústria global .
IA	NUM	0	12	3	0	Novos avanços em IA estão mudando a indústria global .
estão	AUX	0	12	4	0	Novos avanços em IA estão mudando a indústria global .
mudando	VERB	0	12	5	0	Novos avanços em IA estão mudando a indústria global .
a	DET	0	12	6	0	Novos avanços em IA estão mudando a indústria global .
indústria	NOUN	0	12	7	0	Novos avanços em IA estão mudando a indústria global .
global	ADJ	0	12	8	0	Novos avanços em IA estão mudando a indústria global .
.	PUNCT	0	12	9	0	Novos avanços em IA estão mudando a indústria global .
11	['ADJ', 'NOUN', 'ADP', 'NUM', 'AUX', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	12	11	1	Novos avanços em IA estão mudando a indústria global .
A	DET	0	13	0	0	A vacinação contribuiu para a redução de doenças no Brasil .
vacinação	NOUN	1	13	1	0	A vacinação contribuiu para a redução de doenças no Brasil .
contribuiu	VERB	0	13	2	0	A vacinação contribuiu para a redução de doenças no Brasil .
para	ADP	0	13	3	0	A vacinação contribuiu para a redução de doenças no Brasil .
a	DET	0	13	4	0	A vacinação contribuiu para a redução de doenças no Brasil .
redução	NOUN	0	13	5	0	A vacinação contribuiu para a redução de doenças no Brasil .
de	ADP	0	13	6	0	A vacinação contribuiu para a redução de doenças no Brasil .
doenças	NOUN	0	13	7	0	A vacinação contribuiu para a redução de doenças no Brasil .
no	ADP	0	13	8	0	A vacinação contribuiu para a redução de doenças no Brasil .
Brasil	PROPN	0	13	9	0	A vacinação contribuiu para a redução de doenças no Brasil .
.	PUNCT	0	13	10	0	A vacinação contribuiu para a redução de doenças no Brasil .
12	['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	13	12	1	A vacinação contribuiu para a redução de doenças no Brasil .
O	DET	0	14	0	0	O filme brasileiro ganhou prêmio internacional importante .
filme	NOUN	0	14	1	0	O filme brasileiro ganhou prêmio internacional importante .
brasileiro	ADJ	0	14	2	0	O filme brasileiro ganhou prêmio internacional importante .
ganhou	VERB	0	14	3	0	O filme brasileiro ganhou prêmio internacional importante .
prêmio	NOUN	0	14	4	0	O filme brasileiro ganhou prêmio internacional importante .
internacional	ADJ	0	14	5	0	O filme brasileiro ganhou prêmio internacional importante .
importante	ADJ	0	14	6	0	O filme brasileiro ganhou prêmio internacional importante .
.	PUNCT	0	14	7	0	O filme brasileiro ganhou prêmio internacional importante .
13	['DET', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0]	14	13	1	O filme brasileiro ganhou prêmio internacional importante .
A	DET	0	15	0	0	A economia mundial passa por período de instabilidade .
economia	NOUN	0	15	1	0	A economia mundial passa por período de instabilidade .
mundial	ADJ	0	15	2	0	A economia mundial passa por período de instabilidade .
passa	VERB	0	15	3	0	A economia mundial passa por período de instabilidade .
por	ADP	0	15	4	0	A economia mundial passa por período de instabilidade .
período	NOUN	0	15	5	0	A economia mundial passa por período de instabilidade .
de	ADP	0	15	6	0	A economia mundial passa por período de instabilidade .
instabilidade	NOUN	0	15	7	0	A economia mundial passa por período de instabilidade .
.	PUNCT	0	15	8	0	A economia mundial passa por período de instabilidade .
14	['DET', 'NOUN', 'ADJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	15	14	1	A economia mundial passa por período de instabilidade .
Jogadores	NOUN	1	16	0	0	Jogadores de futebol foram convocados para a seleção nacional .
de	ADP	0	16	1	0	Jogadores de futebol foram convocados para a seleção nacional .
futebol	NOUN	0	16	2	0	Jogadores de futebol foram convocados para a seleção nacional .
foram	AUX	0	16	3	0	Jogadores de futebol foram convocados para a seleção nacional .
convocados	VERB	1	16	4	0	Jogadores de futebol foram convocados para a seleção nacional .
para	ADP	0	16	5	0	Jogadores de futebol foram convocados para a seleção nacional .
a	DET	0	16	6	0	Jogadores de futebol foram convocados para a seleção nacional .
seleção	NOUN	0	16	7	0	Jogadores de futebol foram convocados para a seleção nacional .
nacional	ADJ	0	16	8	0	Jogadores de futebol foram convocados para a seleção nacional .
.	PUNCT	0	16	9	0	Jogadores de futebol foram convocados para a seleção nacional .
15	['NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']	[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]	16	15	1	Jogadores de futebol foram convocados para a seleção nacional .
O	DET	0	17	0	0	O sistema de transporte público será modernizado .
sistema	NOUN	0	17	1	0	O sistema de transporte público será modernizado .
de	ADP	0	17	2	0	O sistema de transporte público será modernizado .
transporte	NOUN	0	17	3	0	O sistema de transporte público será modernizado .
público	ADJ	0	17	4	0	O sistema de transporte público será modernizado .
será	AUX	0	17	5	0	O sistema de transporte público será modernizado .
modernizado	VERB	1	17	6	0	O sistema de transporte público será modernizado .
.	PUNCT	0	17	7	0	O sistema de transporte público será modernizado .
16	['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'AUX', 'VERB', 'PUNCT']	[0, 0, 0, 0, 0, 0, 1, 0]	17	16	1	O sistema de transporte público será modernizado .
Uma	DET	0	18	0	0	Uma nova lei de proteção de dados entrou em vigor .
nova	ADJ	0	18	1	0	Uma nova lei de proteção de dados entrou em vigor .
lei	NOUN	0	18	2	0	Uma nova lei de proteção de dados entrou em vigor .
de	ADP	0	18	3	0	Uma nova lei de proteção de dados entrou em vigor .
proteção	NOUN	0	18	4	0	Uma nova lei de proteção de dados entrou em vigor .
de	ADP	0	18	5	0	Uma nova lei de proteção de dados entrou em vigor .
dados	NOUN	0	18	6	0	Uma nova lei de proteção de dados entrou em vigor .
entrou	VERB	0	18	7	0	Uma nova lei de proteção de dados entrou em vigor .
em	ADP	0	18	8	0	Uma nova lei de proteção de dados entrou em vigor .
vigor	NOUN	0	18	9	0	Uma nova lei de proteção de dados entrou em vigor .
.	PUNCT	0	18	10	0	Uma nova lei de proteção de dados entrou em vigor .
17	['DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	18	17	1	Uma nova lei de proteção de dados entrou em vigor .
Universidades	PROPN	1	19	0	0	Universidades investem em pesquisa e desenvolvimento científico .
investem	VERB	1	19	1	0	Universidades investem em pesquisa e desenvolvimento científico .
em	ADP	0	19	2	0	Universidades investem em pesquisa e desenvolvimento científico .
pesquisa	NOUN	0	19	3	0	Universidades investem em pesquisa e desenvolvimento científico .
e	CCONJ	0	19	4	0	Universidades investem em pesquisa e desenvolvimento científico .
desenvolvimento	NOUN	0	19	5	0	Universidades investem em pesquisa e desenvolvimento científico .
científico	ADJ	0	19	6	0	Universidades investem em pesquisa e desenvolvimento científico .
.	PUNCT	0	19	7	0	Universidades investem em pesquisa e desenvolvimento científico .
18	['PROPN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT']	[1, 1, 0, 0, 0, 0, 0, 0]	19	18	1	Universidades investem em pesquisa e desenvolvimento científico .
O	DET	0	20	0	0	O comércio eletrônico cresceu durante o último ano .
comércio	NOUN	0	20	1	0	O comércio eletrônico cresceu durante o último ano .
eletrônico	ADJ	0	20	2	0	O comércio eletrônico cresceu durante o último ano .
cresceu	VERB	0	20	3	0	O comércio eletrônico cresceu durante o último ano .
durante	ADP	0	20	4	0	O comércio eletrônico cresceu durante o último ano .
o	DET	0	20	5	0	O comércio eletrônico cresceu durante o último ano .
último	ADJ	0	20	6	0	O comércio eletrônico cresceu durante o último ano .
ano	NOUN	0	20	7	0	O comércio eletrônico cresceu durante o último ano .
.	PUNCT	0	20	8	0	O comércio eletrônico cresceu durante o último ano .
19	['DET', 'NOUN', 'ADJ', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	20	19	1	O comércio eletrônico cresceu durante o último ano .
Turistas	NOUN	1	21	0	0	Turistas visitaram praias famosas do litoral catarinense .
visitaram	VERB	1	21	1	0	Turistas visitaram praias famosas do litoral catarinense .
praias	NOUN	0	21	2	0	Turistas visitaram praias famosas do litoral catarinense .
famosas	ADJ	0	21	3	0	Turistas visitaram praias famosas do litoral catarinense .
do	ADP	0	21	4	0	Turistas visitaram praias famosas do litoral catarinense .
litoral	NOUN	0	21	5	0	Turistas visitaram praias famosas do litoral catarinense .
catarinense	ADJ	0	21	6	0	Turistas visitaram praias famosas do litoral catarinense .
.	PUNCT	0	21	7	0	Turistas visitaram praias famosas do litoral catarinense .
20	['NOUN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[1, 1, 0, 0, 0, 0, 0, 0]	21	20	1	Turistas visitaram praias famosas do litoral catarinense .
O	DET	0	22	0	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
evento	NOUN	0	22	1	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
de	ADP	0	22	2	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
tecnologia	NOUN	0	22	3	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
reuniu	VERB	0	22	4	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
especialistas	NOUN	0	22	5	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
do	ADP	0	22	6	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
mundo	NOUN	0	22	7	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
inteiro	ADJ	0	22	8	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
.	PUNCT	0	22	9	0	O evento de tecnologia reuniu especialistas do mundo inteiro .
21	['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	22	21	1	O evento de tecnologia reuniu especialistas do mundo inteiro .
Aplicações	NOUN	1	23	0	0	Aplicações de machine learning estão cada vez mais comuns .
de	ADP	0	23	1	0	Aplicações de machine learning estão cada vez mais comuns .
machine	PROPN	1	23	2	0	Aplicações de machine learning estão cada vez mais comuns .
learning	PROPN	1	23	3	0	Aplicações de machine learning estão cada vez mais comuns .
estão	AUX	0	23	4	0	Aplicações de machine learning estão cada vez mais comuns .
cada	DET	0	23	5	0	Aplicações de machine learning estão cada vez mais comuns .
vez	ADP	0	23	6	0	Aplicações de machine learning estão cada vez mais comuns .
mais	NOUN	0	23	7	0	Aplicações de machine learning estão cada vez mais comuns .
comuns	ADJ	0	23	8	0	Aplicações de machine learning estão cada vez mais comuns .
.	PUNCT	0	23	9	0	Aplicações de machine learning estão cada vez mais comuns .
22	['NOUN', 'ADP', 'PROPN', 'PROPN', 'AUX', 'DET', 'ADP', 'NOUN', 'ADJ', 'PUNCT']	[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]	23	22	1	Aplicações de machine learning estão cada vez mais comuns .
O	DET	0	24	0	0	O clima mudou drasticamente em diversas regiões do país .
clima	NOUN	0	24	1	0	O clima mudou drasticamente em diversas regiões do país .
mudou	VERB	0	24	2	0	O clima mudou drasticamente em diversas regiões do país .
drasticamente	ADV	0	24	3	0	O clima mudou drasticamente em diversas regiões do país .
em	ADP	0	24	4	0	O clima mudou drasticamente em diversas regiões do país .
diversas	DET	0	24	5	0	O clima mudou drasticamente em diversas regiões do país .
regiões	NOUN	0	24	6	0	O clima mudou drasticamente em diversas regiões do país .
do	ADP	0	24	7	0	O clima mudou drasticamente em diversas regiões do país .
país	NOUN	0	24	8	0	O clima mudou drasticamente em diversas regiões do país .
.	PUNCT	0	24	9	0	O clima mudou drasticamente em diversas regiões do país .
23	['DET', 'NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	24	23	1	O clima mudou drasticamente em diversas regiões do país .
Empresas	NOUN	1	25	0	0	Empresas adotam soluções digitais para aumentar produtividade .
adotam	VERB	1	25	1	0	Empresas adotam soluções digitais para aumentar produtividade .
soluções	NOUN	0	25	2	0	Empresas adotam soluções digitais para aumentar produtividade .
digitais	ADJ	0	25	3	0	Empresas adotam soluções digitais para aumentar produtividade .
para	SCONJ	0	25	4	0	Empresas adotam soluções digitais para aumentar produtividade .
aumentar	VERB	0	25	5	0	Empresas adotam soluções digitais para aumentar produtividade .
produtividade	NOUN	0	25	6	0	Empresas adotam soluções digitais para aumentar produtividade .
.	PUNCT	0	25	7	0	Empresas adotam soluções digitais para aumentar produtividade .
24	['NOUN', 'VERB', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'NOUN', 'PUNCT']	[1, 1, 0, 0, 0, 0, 0, 0]	25	24	1	Empresas adotam soluções digitais para aumentar produtividade .
A	DET	0	26	0	0	A ciência de dados é essencial para análise de informações .
ciência	NOUN	0	26	1	0	A ciência de dados é essencial para análise de informações .
de	ADP	0	26	2	0	A ciência de dados é essencial para análise de informações .
dados	NOUN	0	26	3	0	A ciência de dados é essencial para análise de informações .
é	AUX	0	26	4	0	A ciência de dados é essencial para análise de informações .
essencial	ADJ	0	26	5	0	A ciência de dados é essencial para análise de informações .
para	ADP	0	26	6	0	A ciência de dados é essencial para análise de informações .
análise	NOUN	0	26	7	0	A ciência de dados é essencial para análise de informações .
de	ADP	0	26	8	0	A ciência de dados é essencial para análise de informações .
informações	NOUN	0	26	9	0	A ciência de dados é essencial para análise de informações .
.	PUNCT	0	26	10	0	A ciência de dados é essencial para análise de informações .
25	['DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	26	25	1	A ciência de dados é essencial para análise de informações .
O	DET	0	27	0	0	O hospital inaugurou uma nova unidade de atendimento .
hospital	NOUN	0	27	1	0	O hospital inaugurou uma nova unidade de atendimento .
inaugurou	VERB	0	27	2	0	O hospital inaugurou uma nova unidade de atendimento .
uma	DET	0	27	3	0	O hospital inaugurou uma nova unidade de atendimento .
nova	ADJ	0	27	4	0	O hospital inaugurou uma nova unidade de atendimento .
unidade	NOUN	0	27	5	0	O hospital inaugurou uma nova unidade de atendimento .
de	ADP	0	27	6	0	O hospital inaugurou uma nova unidade de atendimento .
atendimento	NOUN	0	27	7	0	O hospital inaugurou uma nova unidade de atendimento .
.	PUNCT	0	27	8	0	O hospital inaugurou uma nova unidade de atendimento .
26	['DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0]	27	26	1	O hospital inaugurou uma nova unidade de atendimento .
O	DET	0	28	0	0	O agronegócio brasileiro bateu recordes de exportação .
agronegócio	NOUN	1	28	1	0	O agronegócio brasileiro bateu recordes de exportação .
brasileiro	ADJ	0	28	2	0	O agronegócio brasileiro bateu recordes de exportação .
bateu	VERB	0	28	3	0	O agronegócio brasileiro bateu recordes de exportação .
recordes	NOUN	0	28	4	0	O agronegócio brasileiro bateu recordes de exportação .
de	ADP	0	28	5	0	O agronegócio brasileiro bateu recordes de exportação .
exportação	NOUN	0	28	6	0	O agronegócio brasileiro bateu recordes de exportação .
.	PUNCT	0	28	7	0	O agronegócio brasileiro bateu recordes de exportação .
